user_id,community_id
0,4
1,5
2,11
3,4
4,8
5,2
6,3
7,5
8,10
9,4
10,4
11,3
12,12
13,3
14,0
15,6
16,0
17,3
18,9
19,3
20,4
21,3
22,8
23,4
24,10
25,4
26,10
27,8
28,9
29,6
30,10
31,5
32,6
33,8
34,6
35,8
36,7
37,2
38,6
39,6
40,4
41,0
42,9
43,8
44,10
45,3
46,11
47,6
48,5
49,13
50,4
51,5
52,1
53,1
54,7
55,8
56,9
57,4
58,1
59,7
60,9
61,11
62,5
63,0
64,3
65,3
66,6
67,10
68,7
69,5
70,9
71,0
72,7
73,8
74,7
75,3
76,3
77,1
78,13
79,8
80,5
81,9
82,4
83,13
84,0
85,2
86,7
87,4
88,11
89,1
90,9
91,0
92,11
93,6
94,2
95,9
96,5
97,4
98,5
99,7
100,4
101,10
102,6
103,1
104,8
105,0
106,2
107,9
108,11
109,6
110,2
111,7
112,12
113,4
114,2
115,3
116,11
117,0
118,11
119,1
120,4
121,2
122,0
123,4
124,11
125,11
126,8
127,0
128,10
129,2
130,12
131,2
132,5
133,0
134,8
135,2
136,5
137,0
138,6
139,9
140,0
141,1
142,0
143,4
144,6
145,10
146,3
147,7
148,5
149,4
150,10
151,7
152,12
153,0
154,4
155,7
156,2
157,5
158,0
159,2
160,11
161,0
162,0
163,4
164,3
165,2
166,11
167,2
168,1
169,3
170,7
171,5
172,3
173,11
174,1
175,13
176,3
177,0
178,4
179,8
180,7
181,11
182,9
183,11
184,6
185,8
186,0
187,10
188,3
189,10
190,4
191,13
192,8
193,5
194,11
195,2
196,7
197,3
198,4
199,9
200,3
201,7
202,0
203,6
204,5
205,7
206,2
207,7
208,0
209,8
210,3
211,5
212,13
213,0
214,2
215,8
216,0
217,7
218,5
219,0
220,10
221,3
222,0
223,0
224,2
225,0
226,2
227,5
228,7
229,0
230,9
231,9
232,7
233,4
234,0
235,2
236,5
237,8
238,6
239,3
240,10
241,7
242,9
243,2
244,4
245,1
246,1
247,2
248,1
249,1
250,6
251,6
252,9
253,10
254,6
255,8
256,3
257,0
258,2
259,1
260,3
261,0
262,4
263,1
264,1
265,8
266,6
267,0
268,9
269,10
270,2
271,0
272,2
273,7
274,0
275,3
276,8
277,0
278,1
279,12
280,7
281,4
282,5
283,4
284,3
285,0
286,0
287,10
288,0
289,0
290,4
291,8
292,2
293,6
294,7
295,9
296,3
297,12
298,0
299,1
300,13
301,11
302,3
303,1
304,0
305,6
306,8
307,10
308,8
309,4
310,1
311,5
312,3
313,8
314,5
315,7
316,9
317,8
318,1
319,9
320,6
321,6
322,2
323,1
324,5
325,3
326,6
327,2
328,11
329,5
330,0
331,1
332,5
333,10
334,12
335,9
336,5
337,8
338,3
339,2
340,5
341,0
342,0
343,8
344,4
345,7
346,4
347,8
348,9
349,9
350,3
351,6
352,7
353,9
354,4
355,13
356,0
357,1
358,6
359,1
360,6
361,6
362,1
363,8
364,11
365,9
366,2
367,6
368,1
369,4
370,2
371,1
372,0
373,6
374,12
375,0
376,4
377,6
378,2
379,2
380,6
381,8
382,4
383,6
384,0
385,8
386,5
387,2
388,12
389,3
390,6
391,13
392,2
393,10
394,10
395,9
396,6
397,5
398,0
399,0
400,5
401,6
402,10
403,6
404,5
405,7
406,1
407,2
408,9
409,3
410,5
411,4
412,13
413,9
414,4
415,12
416,2
417,1
418,10
419,11
420,10
421,8
422,0
423,13
424,9
425,0
426,12
427,3
428,4
429,3
430,1
431,4
432,8
433,1
434,7
435,9
436,11
437,8
438,12
439,13
440,0
441,13
442,2
443,0
444,9
445,9
446,2
447,1
448,12
449,4
450,6
451,7
452,2
453,7
454,9
455,1
456,0
457,9
458,6
459,6
460,7
461,1
462,0
463,1
464,11
465,8
466,7
467,5
468,5
469,6
470,1
471,4
472,7
473,7
474,13
475,8
476,8
477,1
478,3
479,4
480,1
481,2
482,2
483,4
484,1
485,9
486,1
487,3
488,9
489,0
490,1
491,11
492,11
493,0
494,7
495,7
496,9
497,8
498,0
499,13
500,1
501,2
502,11
503,0
504,7
505,8
506,10
507,1
508,7
509,9
510,7
511,4
512,14
513,12
514,5
515,14
516,4
517,3
518,14
519,0
520,5
521,0
522,0
523,0
524,14
525,2
526,4
527,11
528,1
529,14
530,4
531,5
532,3
533,7
534,9
535,7
536,2
537,13
538,9
539,0
540,14
541,4
542,0
543,4
544,5
545,2
546,8
547,13
548,7
549,14
550,0
551,10
552,6
553,7
554,7
555,7
556,14
557,4
558,7
559,14
560,7
561,8
562,0
563,1
564,11
565,6
566,12
567,5
568,2
569,13
570,7
571,2
572,5
573,5
574,10
575,10
576,8
577,0
578,6
579,2
580,1
581,4
582,10
583,6
584,0
585,1
586,3
587,5
588,10
589,11
590,0
591,1
592,1
593,6
594,7
595,0
596,11
597,4
598,12
599,0
600,11
601,0
602,9
603,10
604,3
605,8
606,0
607,1
608,3
609,3
610,11
611,8
612,6
613,6
614,3
615,0
616,4
617,13
618,1
619,3
620,5
621,0
622,1
623,0
624,10
625,0
626,6
627,0
628,0
629,2
630,2
631,5
632,8
633,8
634,0
635,1
636,7
637,2
638,10
639,0
640,5
641,3
642,6
643,11
644,1
645,9
646,7
647,9
648,9
649,0
650,11
651,0
652,5
653,4
654,1
655,0
656,8
657,7
658,9
659,4
660,13
661,7
662,1
663,0
664,0
665,0
666,8
667,6
668,7
669,14
670,6
671,0
672,7
673,13
674,14
675,14
676,14
677,0
678,14
679,14
680,3
681,6
682,14
683,14
684,14
685,1
686,0
687,11
688,3
689,4
690,11
691,6
692,11
693,10
694,10
695,12
696,1
697,14
698,8
699,3
700,14
701,3
702,14
703,14
704,1
705,4
706,1
707,11
708,2
709,5
710,3
711,3
712,2
713,8
714,2
715,10
716,1
717,12
718,0
719,4
720,1
721,1
722,8
723,4
724,2
725,7
726,4
727,2
728,7
729,3
730,10
731,7
732,12
733,0
734,7
735,3
736,1
737,9
738,7
739,4
740,12
741,4
742,7
743,3
744,4
745,4
746,0
747,2
748,4
749,9
750,0
751,7
752,0
753,10
754,0
755,10
756,3
757,3
758,3
759,7
760,2
761,9
762,4
763,9
764,3
765,8
766,13
767,12
768,8
769,6
770,10
771,2
772,6
773,0
774,8
775,6
776,5
777,3
778,7
779,2
780,3
781,3
782,10
783,9
784,0
785,0
786,2
787,1
788,9
789,7
790,13
791,1
792,2
793,5
794,10
795,1
796,5
797,5
798,9
799,11
800,2
801,14
802,14
803,7
804,3
805,3
806,14
807,14
808,0
809,0
810,14
811,6
812,7
813,14
814,0
815,14
816,10
817,3
818,4
819,14
820,14
821,14
822,6
823,2
824,14
825,5
826,14
827,6
828,14
829,10
830,0
831,11
832,11
833,14
834,7
835,14
836,5
837,14
838,14
839,1
840,14
841,1
842,14
843,1
844,0
845,12
846,14
847,3
848,0
849,0
850,10
851,6
852,1
853,2
854,14
855,8
856,6
857,14
858,11
859,8
860,2
861,1
862,10
863,10
864,6
865,13
866,5
867,8
868,9
869,0
870,4
871,0
872,4
873,10
874,4
875,5
876,10
877,0
878,3
879,7
880,2
881,3
882,11
883,6
884,7
885,9
886,11
887,2
888,4
889,0
890,4
891,0
892,0
893,0
894,3
895,10
896,12
897,6
898,1
899,1
900,5
901,0
902,9
903,4
904,10
905,11
906,7
907,0
908,4
909,10
910,1
911,8
912,8
913,1
914,2
915,1
916,11
917,0
918,6
919,11
920,10
921,5
922,3
923,11
924,1
925,0
926,0
927,9
928,7
929,0
930,1
931,12
932,0
933,4
934,11
935,7
936,0
937,1
938,8
939,0
940,5
941,13
942,2
943,12
944,5
945,14
946,3
947,4
948,5
949,6
950,0
951,14
952,7
953,0
954,14
955,14
956,0
957,14
958,4
959,3
960,2
961,5
962,8
963,14
964,0
965,8
966,14
967,7
968,1
969,7
970,4
971,8
972,0
973,4
974,2
975,6
976,6
977,3
978,7
979,4
980,0
981,3
982,3
983,3
984,11
985,10
986,0
987,3
988,5
989,3
990,9
991,10
992,4
993,10
994,3
995,12
996,2
997,1
998,4
999,6
1000,2
1001,8
1002,10
1003,8
1004,6
1005,5
1006,3
1007,11
1008,10
1009,8
1010,0
1011,10
1012,0
1013,5
1014,1
1015,9
1016,5
1017,11
1018,0
1019,4
1020,0
1021,3
1022,8
1023,3
1024,10
1025,10
1026,1
1027,7
1028,1
1029,2
1030,2
1031,13
1032,9
1033,4
1034,1
1035,1
1036,2
1037,8
1038,7
1039,0
1040,3
1041,13
1042,8
